school,address,latitude,longitude
M.S. 301 Paul L. Dunbar,"890 Cauldwell Ave, The Bronx, NY 10456, USA",40.8225181,-73.90673160000001
M.S. 302 Luisa Dessus Cruz,"681 Kelly St, The Bronx, NY 10455, USA",40.81591179999999,-73.9016736
M.S.129 Academy for Independent Learning and Leadership,"2055 Mapes Ave, The Bronx, NY 10460, USA",40.8458529,-73.8864943
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,"111 E 33rd St, New York, NY 10016, USA",40.746441,-73.98121119999999
"Magnet School of Math, Science and Design Technology","511 7th Ave, Brooklyn, NY 11215, USA",40.66092260000001,-73.9862168
Martin Van Buren High School,"230-17 Hillside Avenue, Queens Village, NY 11427, USA",40.7336309,-73.7391435
Middle College High School,"1186 Carroll St, Brooklyn, NY 11225, USA",40.667,-73.95101360000001
Middle School 322,"4600 Broadway, New York, NY 10040, USA",40.8608456,-73.93014939999999
Middle School for Art and Philosophy,"1084 Lenox Rd, Brooklyn, NY 11212, USA",40.6579834,-73.92013759999999
Mott Hall Bronx High School,"1595 Bathgate Ave, The Bronx, NY 10457, USA",40.8394008,-73.9019661
Mott Hall High School,"6 Edgecombe Ave, New York, NY 10030, USA",40.8174596,-73.94714139999999
New Design High School,"350 Grand St, New York, NY 10002, USA",40.7173452,-73.9892929
New Dorp High School,"465 New Dorp Ln, Staten Island, NY 10306, USA",40.5695781,-74.1073767
"New Explorations into Science, Technology and Math High School","111 Columbia St, New York, NY 10002, USA",40.7195002,-73.9792392
New Millenium Business Acad. MS,"1000 Teller Ave, The Bronx, NY 10456, USA",40.8279,-73.9141928
Origins High School,"3000 Avenue X, Brooklyn, NY 11235, USA",40.59314,-73.936638
P.S. /I.S. 384 Frances E. Carter,"242 Cooper St, Brooklyn, NY 11207, USA",40.6897153,-73.9050266
P.S. 001 Alfred E. Smith,"8 Henry St, New York, NY 10038, USA",40.7125894,-73.9976565
P.S. 001 The Bergen,"309 47th St, Brooklyn, NY 11220, USA",40.6486563,-74.0112375
P.S. 002 Alfred Zimberg,"75-10 21st Ave, Flushing, NY 11370, USA",40.7700942,-73.89425829999999
P.S. 002 Meyer London,"122 Henry St, New York, NY 10002, USA",40.713057,-73.9916866
P.S. 004 Duke Ellington,"500 W 160th St, New York, NY 10032, USA",40.8348474,-73.9412036
P.S. 004 Maurice Wollin,"200 Nedra Ln, Staten Island, NY 10312, USA",40.5523733,-74.19551609999999
P.S. 005 Dr. Ronald Mcnair,"820 Hancock St, Brooklyn, NY 11233, USA",40.6854939,-73.9223832
P.S. 005 Ellen Lurie,"3703 10th Ave, New York, NY 10040, USA",40.8589195,-73.9224277
P.S. 007 Abraham Lincoln,"858 Jamaica Ave, Brooklyn, NY 11208, USA",40.6894254,-73.87314789999999
P.S. 008 Issac Varian,"3010 Briggs Ave, The Bronx, NY 10458, USA",40.8725473,-73.88336
P.S. 008 Luis Belliard,"465 W 167th St, New York, NY 10032, USA",40.839388,-73.9369588
P.S. 009 Sarah Anderson,"100 W 84th St, New York, NY 10024, USA",40.7850907,-73.973866
P.S. 011 Highbridge,"1257 Ogden Ave, The Bronx, NY 10452, USA",40.8397377,-73.9257866
P.S. 011 William T. Harris,"320 W 21st St, New York, NY 10011, USA",40.744296,-74.0006788
P.S. 012 James B. Colgate,"42-00 72nd St, Woodside, NY 11377, USA",40.7423418,-73.89294129999999
P.S. 013 Clement C. Moore,"55-01 94th St, Flushing, NY 11373, USA",40.7373286,-73.86789999999999
P.S. 013 Roberto Clemente,"557 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6637837,-73.89325869999999
P.S. 014 Fairview,"107-01 Otis Ave, Flushing, NY 11368, USA",40.74091749999999,-73.8543016
P.S. 015 Patrick F. Daly,"71 Sullivan St, Brooklyn, NY 11231, USA",40.6773479,-74.0118236
P.S. 016 John J. Driscoll,"195 Daniel Low Terrace, Staten Island, NY 10301, USA",40.6394408,-74.0797679
P.S. 017 Henry D. Woodworth,"208 N 5th St, Brooklyn, NY 11211, USA",40.715217,-73.9569941
P.S. 018 Edward Bush,"101 Maujer St, Brooklyn, NY 11211, USA",40.7108288,-73.9469101
P.S. 018 John G. Whittier,"221 Broadway, Staten Island, NY 10310, USA",40.6367163,-74.11711400000002
P.S. 018 John Peter Zenger,"502 Morris Ave, The Bronx, NY 10451, USA",40.8162658,-73.9225258
P.S. 019 Asher Levy,"185 1st Avenue, New York, NY 10003, USA",40.7298349,-73.9842426
P.S. 020 Port Richmond,"161 Park Ave, Staten Island, NY 10302, USA",40.6366649,-74.1325289
P.S. 021 Crispus Attucks,"180 Chauncey St, Brooklyn, NY 11233, USA",40.6805192,-73.92615409999999
P.S. 021 Edward Hart,"147-36 26th Ave, Flushing, NY 11354, USA",40.7741682,-73.8185428
P.S. 021 Philip H. Sheridan,"715 E 225th St, The Bronx, NY 10466, USA",40.887871,-73.8594571
P.S. 022 Graniteville Extension,"1860 Forest Ave, Staten Island, NY 10303, USA",40.6249594,-74.1506485
P.S. 026 The Carteret School,"4108 Victory Blvd, Staten Island, NY 10314, USA",40.5915602,-74.1902344
P.S. 028 Mount Hope,"1861 Anthony Ave, The Bronx, NY 10457, USA",40.8483324,-73.9036117
P.S. 028 Wright Brothers,"475 W 155th St, New York, NY 10032, USA",40.8319203,-73.94231959999999
P.S. 030 Westerleigh,"200 Wardwell Ave, Staten Island, NY 10314, USA",40.6178885,-74.1331441
P.S. 031 Samuel F. Dupont,"75 Meserole Ave, Brooklyn, NY 11222, USA",40.7268745,-73.95412449999999
P.S. 031 William T. Davis,"55 Layton Ave, Staten Island, NY 10301, USA",40.6419692,-74.0851783
P.S. 032 Belmont,"690 E 183rd St, The Bronx, NY 10458, USA",40.8518895,-73.88596410000001
P.S. 033 Timothy Dwight,"2424 Jerome Ave, The Bronx, NY 10468, USA",40.86167469999999,-73.90163299999999
P.S. 036 Margaret Douglas,"123 Morningside Dr, New York, NY 10027, USA",40.810705,-73.957404
P.S. 036 Unionport,"1070 Castle Hill Ave, The Bronx, NY 10472, USA",40.8294156,-73.8503793
P.S. 038 The Pacific,"450 Pacific St, Brooklyn, NY 11217, USA",40.6850381,-73.9829164
P.S. 041 Francis White,"411 Thatford Ave, Brooklyn, NY 11212, USA",40.660182,-73.9068734
P.S. 041 Greenwich Village,"116 W 11th St, New York, NY 10011, USA",40.7355874,-73.9992096
P.S. 041 Gun Hill Road,"3352 Olinville Ave, The Bronx, NY 10467, USA",40.8746073,-73.86791029999999
P.S. 042 Benjamin Altman,"71 Hester St, New York, NY 10002, USA",40.7161122,-73.9909457
P.S. 042 Claremont,"1537 Washington Ave, The Bronx, NY 10457, USA",40.8385594,-73.9030255
P.S. 044 Marcus Garvey,"432 Monroe St, Brooklyn, NY 11221, USA",40.68628830000001,-73.940896
P.S. 044 Thomas C. Brown,"80 Maple Pkwy, Staten Island, NY 10303, USA",40.6317517,-74.1569801
P.S. 046 Alley Pond,"64-45 218th St, Flushing, NY 11364, USA",40.7453332,-73.75786719999999
