school, address
"P.S. 179 Kensington", "202 AVENUE C BROOKLYN, NY 11218"
"P.S. 183 Dr. Richard R. Green", "2-45 BEACH 79 STREET QUEENS, NY 11693"
"P.S. 184 Newport", "273 NEWPORT STREET BROOKLYN, NY 11212"
"P.S. 184m Shuang Wen", "327 CHERRY STREET MANHATTAN, NY 10002"
"P.S. 185 Walter Kassenbrock", "8601 RIDGE BOULEVARD BROOKLYN, NY 11209"
"P.S. 186 Dr. Irving A Gladstone", "7601 19 AVENUE BROOKLYN, NY 11214"
"P.S. 189 Lincoln Terrace", "1100 EAST NEW YORK AVENUE BROOKLYN, NY 11212"
"P.S. 189", "2580 AMSTERDAM AVENUE MANHATTAN, NY 10040"
"P.S. 191 Paul Robeson", "1600 PARK PLACE BROOKLYN, NY 11233"
"P.S. 192 Jacob H. Schiff", "500 WEST 138 STREET MANHATTAN, NY 10031"
"P.S. 193 Gil Hodges", "2515 AVENUE L BROOKLYN, NY 11210"
"P.S. 194 Countee Cullen", "244 WEST 144 STREET MANHATTAN, NY 10030"
"P.S. 194 Raoul Wallenberg", "3117 AVENUE W BROOKLYN, NY 11229"
"P.S. 196 Ten Eyck", "207 BUSHWICK AVENUE BROOKLYN, NY 11206"
"P.S. 197 John B. Russwurm", "2230 5 AVENUE MANHATTAN, NY 10037"
"P.S. 198 Brooklyn", "4105 FARRAGUT ROAD BROOKLYN, NY 11210"
"P.S. 199X - The Shakespeare School", "1449 SHAKESPEARE AVENUE BRONX, NY 10452"
"P.S. 200 Benson School", "1940 BENSON AVENUE BROOKLYN, NY 11214"
"P.S. 202 Ernest S. Jenkyns", "982 HEGEMAN AVENUE BROOKLYN, NY 11208"
"P.S. 203 The School for Future Leaders", "5101 AVENUE M BROOKLYN, NY 11234"
"P.S. 204 Vince Lombardi", "8101 15 AVENUE BROOKLYN, NY 11228"
"P.S. 206 Joseph F Lamb", "2200 GRAVESEND NECK ROAD BROOKLYN, NY 11229"
"P.S. 207 Elizabeth G. Leary", "3874 FLATLANDS AVENUE BROOKLYN, NY 11234"
"P.S. 207 Elizabeth G. Leary", "4011 FILLMORE AVENUE BROOKLYN, NY 11234"
"P.S. 207", "3030 GODWIN TERRACE BRONX, NY 10463"
"P.S. 208 Elsa Ebeling", "4801 AVENUE D BROOKLYN, NY 11203"
"P.S. 209 Margaret Mead", "2609 EAST 7 STREET BROOKLYN, NY 11235"
"P.S. 21 Margaret Emery-Elm Park", "168 HOOKER PLACE STATEN ISLAND, NY 10303"
"P.S. 213 New Lots", "580 HEGEMAN AVENUE BROOKLYN, NY 11207"
"P.S. 214", "1970 WEST FARMS ROAD BRONX, NY 10460"
"P.S. 215 Morris H. Weiss", "415 AVENUE S BROOKLYN, NY 11223"
"P.S. 216 Arturo Toscanini", "350 AVENUE X BROOKLYN, NY 11223"
"P.S. 217 Colonel David Marcus School", "1100 NEWKIRK AVENUE BROOKLYN, NY 11230"
"P.S. 219 Kennedy-King", "1060 CLARKSON AVENUE BROOKLYN, NY 11212"
"P.S. 223 Lyndon B. Johnson", "125-20 SUTPHIN BOULEVARD QUEENS, NY 11434"
"P.S. 230 Doris L. Cohen", "1 ALBEMARLE ROAD BROOKLYN, NY 11218"
"P.S. 232 Lindenwood", "153-23 83 STREET QUEENS, NY 11414"
"P.S. 234", "30-15 29 STREET QUEENS, NY 11102"
"P.S. 236 Mill Basin", "6302 AVENUE U BROOKLYN, NY 11234"
"P.S. 238 Anne Sullivan", "1633 EAST 8 STREET BROOKLYN, NY 11223"
"P.S. 242 Leonard P. Stavisky Early Childhood School", "29-66 137 STREET QUEENS, NY 11354"
"P.S. 244 Richard R. Green", "5404 TILDEN AVENUE BROOKLYN, NY 11203"
"P.S. 245", "249 EAST 17TH STREET BROOKLYN, NY 11226"
"P.S. 246 Poe Center", "2641 GRAND CONCOURSE BRONX, NY 10468"
"P.S. 249 The Caton", "18 MARLBOROUGH ROAD BROOKLYN, NY 11226"
"P.S. 250 George H. Lindsay", "108 MONTROSE AVENUE BROOKLYN, NY 11206"
"P.S. 253", "601 OCEANVIEW AVENUE BROOKLYN, NY 11235"
"P.S. 254 - The Rosa Parks School", "84-40 101 STREET QUEENS, NY 11418"
"P.S. 256 Benjamin Banneker", "114 KOSCIUSZKO STREET BROOKLYN, NY 11216"
"P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS", "371 89th Street BROOKLYN, NY 11209"
"P.S. 272 Curtis Estabrook", "101-24 SEAVIEW AVENUE BROOKLYN, NY 11236"
"P.S. 277 Gerritsen Beach", "2529 GERRITSEN AVENUE BROOKLYN, NY 11229"
"P.S. 28 - The Thomas Emanuel Early Childhood Center", "109-10 47 AVENUE QUEENS, NY 11368"
"P.S. 288 The Shirley Tanyhill", "2950 WEST 25 STREET BROOKLYN, NY 11224"
"P.S. 290 Juan Morel Campos", "135 SCHENCK AVENUE BROOKLYN, NY 11207"
"P.S. 295", "330 18 STREET BROOKLYN, NY 11215"
"P.S. 297 Abraham Stockton", "700 PARK AVENUE BROOKLYN, NY 11206"
"P.S. 298 Dr. Betty Shabazz", "85 WATKINS STREET BROOKLYN, NY 11212"
"P.S. 3 Raul Julia Micro Society", "2100 LAFONTAINE AVENUE BRONX, NY 10457"
"P.S. 306 Ethan Allen", "970 VERMONT STREET BROOKLYN, NY 11207"
"P.S. 306", "40 WEST TREMONT AVENUE BRONX, NY 10453"
"P.S. 307 Daniel Hale Williams", "209 YORK STREET BROOKLYN, NY 11201"
"P.S. 308 Clara Cardwell", "616 QUINCY STREET BROOKLYN, NY 11221"
"P.S. 309 The George E. Wibecan Preparatory Academy", "794 MONROE STREET BROOKLYN, NY 11221"
"P.S. 312 Bergen Beach", "7103 AVENUE T BROOKLYN, NY 11234"
"P.S. 326", "1800 UTICA AVENUE BROOKLYN, NY 11234"
"P.S. 327 Dr. Rose B. English", "111 BRISTOL STREET BROOKLYN, NY 11212"
"P.S. 328 Phyllis Wheatley", "330 ALABAMA AVENUE BROOKLYN, NY 11207"
"P.S. 330", "110-08 NORTHERN BOULEVARD QUEENS, NY 11368"
"P.S. 335 Granville T. Woods", "130 ROCHESTER AVENUE BROOKLYN, NY 11213"
"P.S. 346 Abe Stark", "1400 PENNSYLVANIA AVENUE BROOKLYN, NY 11239"
"P.S. 361 East Flatbush Early Childhood School", "1957 NOSTRAND AVENUE BROOKLYN, NY 11210"
"P.S. 375 Jackie Robinson School", "46 MCKEEVER PLACE BROOKLYN, NY 11225"
"P.S. 376", "194 HARMAN STREET BROOKLYN, NY 11237"
"P.S. 377 Alejandrina B. De Gautier", "200 WOODBINE STREET BROOKLYN, NY 11221"
"P.S. 38 Roberto Clemente", "232 EAST 103 STREET MANHATTAN, NY 10029"
"P.S. 380 John Wayne Elementary", "370 MARCY AVENUE BROOKLYN, NY 11206"
"P.S. 39 Francis J. Murphy Jr.", "99 MACFARLAND AVENUE STATEN ISLAND, NY 10305"
"P.S. 398 Walter Weaver", "60 EAST 94 STREET BROOKLYN, NY 11212"
"P.S. 398", "69-01 34TH AVENUE QUEENS, NY 11377"
"P.S. 399 Stanley Eugene Clark", "2707 ALBEMARLE ROAD BROOKLYN, NY 11226"
"P.S. 58 - School of Heroes", "72-24 GRAND AVENUE QUEENS, NY 11378"
"P.S. 595", "700 EAST 179 STREET BRONX, NY 10457"
"P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS", "1664 BENSON AVENUE BROOKLYN, NY 11214"
"P.S. 90 Edna Cohen School", "2840 WEST 12 STREET BROOKLYN, NY 11224"
"P.S. 971", "6214 4TH AVENUE BROOKLYN, NY 11220"
"P.S. K225 - The Eileen E. Zaglin", "1075 OCEAN VIEW AVENUE BROOKLYN, NY 11235"
"P.S. X014 Senator John Calandra", "3047 BRUCKNER BOULEVARD BRONX, NY 10461"
"P.S. X088 - S. Silverstein Little Sparrow School", "1340 SHERIDAN AVENUE BRONX, NY 10456"
"P.S. X114 - Luis Llorens Torres Schools", "1155 CROMWELL AVENUE BRONX, NY 10452"
"P.S. X140 The Eagle School", "916 EAGLE AVENUE BRONX, NY 10456"
"P.S. X811", "1434 LONGFELLOW AVENUE BRONX, NY 10459"
"P.S./ M.S.138 Sunrise", "251-11 WELLER AVENUE QUEENS, NY 11422"
"P.S./I.S. 104 The Fort Hamilton School", "9115 5 AVENUE BROOKLYN, NY 11209"
"P.S./I.S. 217 Roosevelt Island", "645 MAIN STREET MANHATTAN, NY 10044"
"P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School", "1220 GERARD AVENUE BRONX, NY 10452"
"P.S./M.S. 004 Crotona Park West", "1717 FULTON AVENUE BRONX, NY 10457"
"PS 007 Louis F. Simeone Annex", "76-05 51 AVENUE QUEENS, NY 11373"
"PS 112 Lefferts Park Annex", "7301 15TH AVENUE BROOKLYN, NY 11228"
"PS 226 Annex", "1910 SEDGWICK AVENUE BRONX, NY 10453"
"PS 235 Janice Marie Knight School Annex", "10001 FLATLANDS AVENUE BROOKLYN, NY 11236"
"PS 354", "126-10 BEDELL STREET QUEENS, NY 11434"
"PS 5 Port Morris", "564 JACKSON AVENUE BRONX, NY 10455"
"PS 503: The School of Discovery", "330 59 STREET BROOKLYN, NY 11220"
"PS 78", "100 TOMPKINS AVENUE STATEN ISLAND, NY 10304"
"PS/MS 194", "2365 WATERBURY AVENUE BRONX, NY 10462"
"Paula Hedbavny School", "421 W 219TH ST MANHATTAN, NY 10034"
"Performing Arts and Technology High School", "400 PENNSYLVANIA AVENUE BROOKLYN, NY 11207"
"Port Richmond High School", "85 ST JOSEPHS AVENUE STATEN ISLAND, NY 10302"
"RED HOOK NEIGHBORHOOD SCHOOL", "27 HUNTINGTON STREET BROOKLYN, NY 11231"
"Ralph A. Fabrizio School", "619 72ND STREET BROOKLYN, NY 11209"
"Richmond Hill High School", "89-30 114 STREET QUEENS, NY 11418"
"River East Elementary", "2351 FIRST AVENUE MANHATTAN, NY 10035"
"Riverdale / Kingsbridge Academy (Middle School / High School 141)", "660 WEST 237 STREET BRONX, NY 10463"
"School for Excellence", "1110 BOSTON ROAD BRONX, NY 10456"
"School for International Studies", "284 BALTIC STREET BROOKLYN, NY 11201"
"School of the Future High School", "127 EAST 22 STREET MANHATTAN, NY 10010"
"South Bronx Preparatory: A College Board School", "360 EAST 145 STREET BRONX, NY 10454"
"Stephen T. Mather Building Arts Craf", "439 WEST 49TH STREET MANHATTAN, NY 10019"
"Stuyvesant High School", "345 CHAMBERS STREET MANHATTAN, NY 10282"
"Tag Young Scholars", "240 EAST 109 STREET MANHATTAN, NY 10029"
"Teachers College Community School", "168 MORNINGSIDE AVENUE MANHATTAN, NY 10027"
"The Active Learning Elementary School", "137-20 FRANKLIN AVENUE QUEENS, NY 11355"
"The Angelo Patri Middle School", "2225 WEBSTER AVENUE BRONX, NY 10457"
"The Bellaire School", "207-11 89 AVENUE QUEENS, NY 11427"
"The Christa McAuliffe School\I.S. 187", "1171 65 STREET BROOKLYN, NY 11219"
"The Highbridge Green School", "200 West 167th Street BRONX, NY 10452"
"The Hunts Point School", "730 BRYANT AVENUE BRONX, NY 10474"
"The Lexington Academy", "131 EAST 104 STREET MANHATTAN, NY 10029"
"The Longwood Academy of Discovery", "888 REV J A POLITE AVE BRONX, NY 10459"
"The Matilda Avenue School", "4520 MATILDA AVENUE BRONX, NY 10470"
"The Michael J. Petrides School", "715 OCEAN TERRACE STATEN ISLAND, NY 10301"
"The SEEALL Academy", "5601 16 AVENUE BROOKLYN, NY 11204"
"The STAR Academy - P.S.63", "121 EAST 3 STREET MANHATTAN, NY 10009"
"The School of Creativity and Innovation", "736 48TH STREET BROOKLYN, NY 11220"
"The Walton Avenue School", "1425 WALTON AVENUE BRONX, NY 10452"
"Thomas A. Edison Career and Technical Education High School", "165-65 84 AVENUE QUEENS, NY 11432"
"Thurgood Marshall Academy Lower School", "276 WEST 151ST STREET MANHATTAN, NY 10039"
"Thurgood Marshall Academy for Learning and Social", "200-214 WEST 135TH STREET MANHATTAN, NY 10030"
"Urban Academy Laboratory High School", "317 EAST 67 STREET MANHATTAN, NY 10065"
"Vista Academy", "350 LINWOOD STREET BROOKLYN, NY 11208"
"Wadleigh Secondary School for the Performing & Vis", "215 WEST 114 STREET MANHATTAN, NY 10026"
"William Cullen Bryant High School", "48-10 31 AVENUE QUEENS, NY 11103"
"William E. Grady Career and Technical Education High School", "25 BRIGHTON 4TH ROAD BROOKLYN, NY 11235"
"Williamsburg High School for Art and Technology", "223 GRAHAM AVENUE BROOKLYN, NY 11206"
"Young Voices Academy Of The Bronx", "800 LYDIG AVENUE BRONX, NY 10462"
