school, address
"P.S. 019 Asher Levy", "185 1 AVENUE MANHATTAN, NY 10003"
"P.S. 020 Port Richmond", "161 PARK AVENUE STATEN ISLAND, NY 10302"
"P.S. 021 Crispus Attucks", "180 CHAUNCEY STREET BROOKLYN, NY 11233"
"P.S. 021 Edward Hart", "147-36 26 AVENUE QUEENS, NY 11354"
"P.S. 021 Philip H. Sheridan", "715 EAST 225 STREET BRONX, NY 10466"
"P.S. 022 Graniteville Extension", "1860 FOREST AVENUE STATEN ISLAND, NY 10303"
"P.S. 026 The Carteret School", "4108 VICTORY BOULEVARD STATEN ISLAND, NY 10314"
"P.S. 028 Mount Hope", "1861 ANTHONY AVENUE BRONX, NY 10457"
"P.S. 028 Wright Brothers", "475 WEST 155 STREET MANHATTAN, NY 10032"
"P.S. 030 Westerleigh", "200 WARDWELL AVENUE STATEN ISLAND, NY 10314"
"P.S. 031 Samuel F. Dupont", "75 MESEROLE AVENUE BROOKLYN, NY 11222"
"P.S. 031 William T. Davis", "55 LAYTON AVENUE STATEN ISLAND, NY 10301"
"P.S. 032 Belmont", "690 EAST 183 STREET BRONX, NY 10458"
"P.S. 033 Timothy Dwight", "2424 JEROME AVENUE BRONX, NY 10468"
"P.S. 036 Margaret Douglas", "123 MORNINGSIDE DRIVE MANHATTAN, NY 10027"
"P.S. 036 Unionport", "1070 CASTLE HILL AVENUE BRONX, NY 10472"
"P.S. 038 The Pacific", "450 PACIFIC STREET BROOKLYN, NY 11217"
"P.S. 041 Francis White", "411 THATFORD AVENUE BROOKLYN, NY 11212"
"P.S. 041 Greenwich Village", "116 WEST 11 STREET MANHATTAN, NY 10011"
"P.S. 041 Gun Hill Road", "3352 OLINVILLE AVENUE BRONX, NY 10467"
"P.S. 042 Benjamin Altman", "71 HESTER STREET MANHATTAN, NY 10002"
"P.S. 042 Claremont", "1537 WASHINGTON AVENUE BRONX, NY 10457"
"P.S. 044 Marcus Garvey", "432 MONROE STREET BROOKLYN, NY 11221"
"P.S. 044 Thomas C. Brown", "80 MAPLE PARKWAY STATEN ISLAND, NY 10303"
"P.S. 046 Alley Pond", "64-45 218 STREET QUEENS, NY 11364"
"P.S. 046 Arthur Tappan", "2987 FREDERICK DOUGLASS BOULEVARD MANHATTAN, NY 10039"
"P.S. 046 Edgar Allan Poe", "279 EAST 196 STREET BRONX, NY 10458"
"P.S. 047 John Randolph", "1794 EAST 172 STREET BRONX, NY 10472"
"P.S. 048 Mapleton", "6015 18 AVENUE BROOKLYN, NY 11204"
"P.S. 048 William Wordsworth", "108-29 155 STREET QUEENS, NY 11433"
"P.S. 049 Dorothy Bonawit Kole", "63-60 80th Street QUEENS, NY 11379"
"P.S. 052 John C. Thompson", "450 BUEL AVENUE STATEN ISLAND, NY 10305"
"P.S. 052 Sheepshead Bay", "2675 EAST 29 STREET BROOKLYN, NY 11235"
"P.S. 053 Basheer Quisim", "360 EAST 168 STREET BRONX, NY 10456"
"P.S. 053 Bay Terrace", "330 DURANT AVENUE STATEN ISLAND, NY 10308"
"P.S. 054 Charles W. Leng", "1060 WILLOWBROOK ROAD STATEN ISLAND, NY 10314"
"P.S. 055 Henry M. Boehm", "54 OSBORNE STREET STATEN ISLAND, NY 10312"
"P.S. 056 Norwood Heights", "341 EAST 207 STREET BRONX, NY 10467"
"P.S. 057 Crescent", "2111 CROTONA AVENUE BRONX, NY 10457"
"P.S. 057 Hubert H. Humphrey", "140 PALMA DRIVE STATEN ISLAND, NY 10304"
"P.S. 058", "459 EAST 176 STREET BRONX, NY 10457"
"P.S. 059 The Community School of Technology", "2185 BATHGATE AVENUE BRONX, NY 10457"
"P.S. 060 Alice Austen", "55 MERRILL AVENUE STATEN ISLAND, NY 10314"
"P.S. 060 Woodhaven", "91-02 88 AVENUE QUEENS, NY 11421"
"P.S. 062 Chester Park", "97-25 108 STREET QUEENS, NY 11419"
"P.S. 062 Inocensio Casanova", "660 FOX STREET BRONX, NY 10455"
"P.S. 063 Author's Academy", "1260 FRANKLIN AVENUE BRONX, NY 10456"
"P.S. 064 Robert Simon", "600 EAST 6 STREET MANHATTAN, NY 10009"
"P.S. 066 School of Higher Expectations", "1001 JENNINGS STREET BRONX, NY 10460"
"P.S. 067 Charles A. Dorsey", "51 SAINT EDWARDS STREET BROOKLYN, NY 11205"
"P.S. 067 Mohegan School", "2024 MOHEGAN AVENUE BRONX, NY 10460"
"P.S. 069 Daniel D. Tompkins", "144 KEATING PLACE STATEN ISLAND, NY 10314"
"P.S. 069 Jackson Heights", "77-02 37 AVENUE QUEENS, NY 11372"
"P.S. 070 Max Schoenfeld", "1691 WEEKS AVENUE BRONX, NY 10457"
